KEY,en,notes,sp,fr,de,it,pt-br,ja
KEYWORD_ELITE_STICKY_DESC,Anything that contacts or attacks this gets Tarred 1.,,Todo aquello que entra en contacto con esta unidad o la ataca sufre 1 de brea.,Tout ce qui touche ou attaque cette unité subit Goudron +1.,"Alle Einheiten, die diese Einheit berühren oder angreifen, erleiden Geteert&nbsp;1.",Qualsiasi cosa tocchi o attacchi questo oggetto subisce Catramatura 1.,Aplica piche 1 em qualquer coisa que ataque ou entre em contato com isto.,接触または​攻撃した​対象に​タール1を​付与するにゃ。[b][/b]
KEYWORD_METAL_NAME,Metal,,Metálico,Métal,Metall,Metallo,Metal,金属
KEYWORD_METAL_DESC,This item is electrically conductive.,,Este objeto conduce la electricidad.,Cet objet est électriquement conducteur.,Dieser Gegenstand leitet Strom.,Quest'oggetto è elettricamente conduttivo.,Este item conduz eletricidade.,この​アイテムは​電気​伝導性が​あるにゃ。[b][/b]
KEYWORD_FRAGILE_NAME,Fragile,,Frágil,Fragile,Zerbrechlich,Fragile,Frágil,壊れやすい
KEYWORD_FRAGILE_DESC,This item breaks when you're downed.,,Este objeto se rompe cuando la unidad está abatida.,Cet objet se brise quand vous êtes mis K.O.,"Dieser Gegenstand geht kaputt, wenn du in Ohnmacht fällst.",Quest'oggetto si rompe quando sei KO.,Este item quebra quando você fica inconsciente.,倒された​時に​この​アイテムは​壊れるにゃ。[b][/b]
KEYWORD_BRITTLE_NAME,Brittle,,Endeble,Cassant,Spröde,Friabile,Quebradiço,脆い
KEYWORD_BRITTLE_DESC,This item has a 25% chance to break when you take damage.,,Este objeto tiene un 25 % de probabilidad de romperse cuando la unidad sufre daño.,Cet objet a 25&nbsp;% de chances de se briser quand vous subissez des dégâts.,"Dieser Gegenstand hat eine 25%ige Wahrscheinlichkeit, kaputtzugehen, wenn du Schaden erleidest.",Quest'oggetto ha un 25% di probabilità di rompersi quando subisci danno.,Este item possui 25% de chance de quebrar quando você sofre dano.,ダメージを​受けた​時、​この​アイテムは​25%の​確率で​壊れるにゃ。[b][/b]
KEYWORD_FLAMMABLE_NAME,Flammable,,Inflamable,Inflammable,Leicht brennbar.,Infiammabile,Inflamável,可燃性
KEYWORD_FLAMMABLE_DESC,This item burns up when hit with fire.,,Este objeto arde cuando lo alcanza el fuego.,Cet objet brûle quand il est touché par le feu.,"Dieser Gegenstand verbrennt, wenn er in Kontakt mit Feuer gerät.",Quest'oggetto brucia se colpito dal fuoco.,Este item queima quando é atingido com fogo.,炎に​当たると​この​アイテムは​燃え​尽きるにゃ。[b][/b]
KEYWORD_CURSED_NAME,Cursed,,Maldito,Malédiction,Verflucht,Maledetto,Maldição,呪われた
KEYWORD_CURSED_DESC,This item cannot be unequipped once equipped.,,Este objeto no se puede quitar una vez equipado.,Cet objet ne peut pas être retiré une fois équipé.,"Dieser Gegenstand kann nicht abgelegt werden, wenn er einmal ausgerüstet worden ist.",Quest'oggetto non può essere rimosso una volta equipaggiato.,"Após ser equipado, este item não pode ser removido.",装備すると​外せなくなる​アイテムにゃ。[b][/b]
KEYWORD_RELOAD_NAME,Reload,,Recarga,Recharge,Nachladen,Ricarica,Recarregamento,リロード
KEYWORD_RELOAD_DESC,This action starts disabled and does not refresh on its own after use. Meet the condition to refresh it.,,Esta acción empieza deshabilitada y no se restaura sola después de usarla. Hay que cumplir ciertas condiciones.,Cette action commence désactivée et ne se recharge pas automatiquement après utilisation. Remplissez la condition pour la réinitialiser.,"Diese Aktion ist zu Anfang deaktiviert und frischt sich nach Benutzen nicht selbst auf. Erfülle ihre jeweilige Bedingung, um sie aufzufrischen.",Quest'azione inizia come disabilitata e non si rigenera automaticamente dopo l'uso. Soddisfa la condizione per riattivarla.,Esta ação inicia desabilitada e não é renovada por si só após ser utilizada. Cumpra a condição para renová-la.,この​アクションは​無効状態で​開始され、​使用後​自動で​回復しないにゃ。​条件を​満たして​リロードするにゃ。[b][/b]
KEYWORD_RELOADB_DESC,This action does not refresh on its own after use. Meet the condition to refresh it.,,Esta acción no se restaura sola después de usarla. Hay que cumplir ciertas condiciones.,Cette action ne se recharge pas automatiquement après utilisation. Remplissez la condition pour la réinitialiser.,"Diese Aktion frischt sich nach Benutzen nicht selbst auf. Erfülle ihre jeweilige Bedingung, um sie aufzufrischen.",Quest'azione non si riattiva automaticamente dopo l'uso. Soddisfa la condizione per riattivarla.,Esta ação não é renovada por si só após ser utilizada. Cumpra a condição para renová-la.,この​アクションは​使用後​自動で​回復しないにゃ。​条件を​満たして​リロードするにゃ。[b][/b]
KEYWORD_FLYING_NAME,Flying,,Volador,Vol,Fliegend,Volo,Voador,飛行
KEYWORD_FLYING_DESC,Ignores tiles and can pass over units and objects.,,Ignora las casillas y sobrevuela las unidades y los objetos.,Ignore les effets de case et survole les unités et les objets.,Ignoriert Feldeffekte und kann über Einheiten und Objekte fliegen.,Ignora le caselle e può sorvolare unità e oggetti.,Ignora espaços e pode passar por cima de unidades e objetos.,タイルを​無視し、​ユニットや​障害物を​飛び越えられるにゃ。[b][/b]




